id,address,city,neighborhood,lat,lon,property_type,bedrooms,bathrooms,gla_sqft,lot_size_sqft,year_built,sale_date,sale_price
AB-00000,5180 Riverside Blvd SE,Calgary,Beltline,51.015788,-114.092735,Detached,5,5.0,2793,2929,2005,2025-11-21,1428300
AB-00001,731 Heritage Blvd SE,Calgary,Mahogany,50.89861,-113.942749,Detached,4,3.5,1728,5719,1983,2026-01-23,806500
AB-00002,4720 Saddleback St NE,Calgary,Signal Hill,51.068146,-114.176853,Townhouse,3,2.5,1405,0,1959,2026-05-11,477800
AB-00003,15933 Crowchild Dr NW,Edmonton,Glenora,53.531853,-113.55602,Townhouse,3,2.5,1023,0,1981,2026-05-09,429000
AB-00004,3935 Heritage Rd SE,Calgary,Kensington,51.060018,-114.100648,Semi-Detached,3,2.5,1397,3474,2022,2025-04-17,752400
AB-00005,5600 Saddleback Cres SW,Calgary,Inglewood,51.040469,-114.018899,Detached,6,3.5,2629,6525,1955,2025-05-12,1330100
AB-00006,11350 Willow St NW,Edmonton,Glenora,53.517806,-113.548358,Detached,3,3.0,1842,5842,2002,2025-05-11,925500
AB-00007,16450 Spruce Blvd NW,Edmonton,Glenora,53.535704,-113.563411,Detached,4,4.0,2485,4684,2025,2024-11-05,1113800
AB-00008,1752 Memorial St NE,Calgary,Signal Hill,51.077507,-114.17495,Detached,4,2.5,2182,5285,1991,2025-12-26,1008800
AB-00009,4516 Crowchild Dr NE,Calgary,Kensington,51.05365,-114.082308,Townhouse,2,2.0,972,0,2006,2024-09-27,447100
AB-00010,7026 Saddleback Rd NE,Calgary,Inglewood,51.021128,-114.044956,Townhouse,3,2.5,1141,0,2024,2024-08-04,489300
AB-00011,2638 Saddleback Way NW,Edmonton,Westmount,53.553535,-113.5472,Townhouse,3,3.5,1676,0,2011,2025-04-26,517200
AB-00012,6309 Riverside Cres NE,Calgary,Bridgeland,51.055366,-114.055472,Detached,5,4.0,2856,3384,1988,2026-02-17,1514900
AB-00013,1834 Willow Blvd NW,Calgary,Beltline,51.05551,-114.058538,Detached,5,4.0,2570,6435,1957,2025-09-27,1516600
AB-00014,4723 Prospect St SE,Calgary,Bridgeland,51.062122,-114.050556,Condo,3,2.5,1293,0,1979,2024-09-20,453500
AB-00015,5254 Township Dr SW,Calgary,Beltline,51.013615,-114.067617,Semi-Detached,3,3.0,1704,4064,1966,2025-07-24,770900
AB-00016,2883 Elbow Way NW,Calgary,Signal Hill,51.057572,-114.196795,Condo,1,2.5,566,0,1994,2024-09-12,153300
AB-00017,10980 Whyte Rd NW,Edmonton,Old Strathcona,53.503781,-113.511442,Townhouse,3,1.5,1482,0,1999,2026-04-01,499100
AB-00018,5193 Crowchild Ave NW,Edmonton,Bonnie Doon,53.527619,-113.466506,Condo,3,2.0,1273,0,2023,2026-03-25,370800
AB-00019,17878 Saddleback Rd NW,Edmonton,Glenora,53.556949,-113.54044,Detached,4,3.5,1480,3257,2019,2024-11-12,697600
AB-00020,2485 Maple St SE,Calgary,Mount Royal,51.047429,-114.086068,Townhouse,3,2.5,1518,0,2018,2024-08-09,783300
AB-00021,5042 Aspen Dr SE,Calgary,Beltline,51.025915,-114.086216,Detached,5,3.5,2896,4336,1998,2026-05-31,1541000
