permit_number,status,applied_date,issued_date,completed_date,permit_type,permit_class,work_class,description,est_project_cost,address,community,latitude,longitude,source
BP2026-04873,Hold,2026-03-28,,,Residential Improvement Project,1101 - Improvements (Single Family),Alteration,Improvements,4000.0,392 SIENNA PARK DR SW,SIGNAL HILL,51.02409998407975,-114.18143313068835,Open Calgary — Building Permits (c2es-76ed)
BP2026-08254,Hold,2026-05-12,,,Residential Improvement Project,1101 - Improvements (Single Family),Alteration,Improvements,100000.0,186 SIERRA NEVADA CL SW,SIGNAL HILL,51.01526846499245,-114.18271591361034,Open Calgary — Building Permits (c2es-76ed)
BP2026-04490,Hold,2026-03-23,,,Residential Improvement Project,1101 - Improvements (Single Family),Alteration,Improvements,10000.0,166 SIENNA HILLS DR SW,SIGNAL HILL,51.02657791175769,-114.1716834122649,Open Calgary — Building Permits (c2es-76ed)
BP2025-07006,Refused,2025-04-19,,2026-01-07,Residential Improvement Project,1101 - Improvements (Single Family),Alteration,Improvements,9000.0,802 SIERRA MADRE CO SW,SIGNAL HILL,51.012015499087276,-114.18015764544204,Open Calgary — Building Permits (c2es-76ed)
BP2026-08133,Hold,2026-05-11,,,Residential Improvement Project,1101 - Basement Development,Alteration,Basement Dev,24856.0,68 SIMCOE PL SW,SIGNAL HILL,51.0370375563952,-114.18347295092515,Open Calgary — Building Permits (c2es-76ed)
BP2026-07486,New,2026-05-04,,,Residential Improvement Project,1101 - Improvements (Single Family),Alteration,Improvements,115000.0,322 SIGNATURE CO SW,SIGNAL HILL,51.0360882120189,-114.17529618100164,Open Calgary — Building Permits (c2es-76ed)
BP2025-15654,Cancelled,2025-08-12,,2025-09-14,Residential Improvement Project,9999 - Unspecified,Alteration,Secondary Suite,,511 SIERRA MORENA CO SW,SIGNAL HILL,51.02011224484411,-114.18357431549626,Open Calgary — Building Permits (c2es-76ed)
BP2025-10679,Hold,2025-06-04,,,Residential Improvement Project,1101 - Improvements (Single Family),Alteration,Improvements,4095.0,172 SIMCOE PL SW,SIGNAL HILL,51.036218302230644,-114.18423286240007,Open Calgary — Building Permits (c2es-76ed)
BP2026-07065,New,2026-04-28,,,Residential Improvement Project,1110 - Below Grade Suite,New,Secondary Suite,64449.54,3667 SIERRA MORENA RD SW,SIGNAL HILL,51.02101235878265,-114.18407516993135,Open Calgary — Building Permits (c2es-76ed)
BP2025-11595,Cancelled,2025-06-17,,2025-07-09,Residential Improvement Project,1105 - Retaining Wall,Alteration,Retaining Wall,,1968 SIROCCO DR SW,SIGNAL HILL,51.0350868184239,-114.16720866929803,Open Calgary — Building Permits (c2es-76ed)
