permit_number,status,applied_date,issued_date,completed_date,permit_type,permit_class,work_class,description,est_project_cost,address,community,latitude,longitude,source
BP2026-02104,Cancelled,2026-02-11,,2026-04-07,Commercial / Multi Family Project,5299 - Medical Misc.,Alteration,Interior alterations - Signal Hill Dental,,5743 SIGNAL HILL CE SW,SIGNAL HILL,51.01819937708334,-114.17172659688727,Open Calgary — Building Permits (c2es-76ed)
BP2026-02004,Pending Plans Review Assignment,2026-02-10,,,Commercial / Multi Family Project,3799 - Personal Service. Misc.,Alteration,,45000.0,#428 1919 SIROCCO DR SW,SIGNAL HILL,51.035731454425196,-114.16722848366327,Open Calgary — Building Permits (c2es-76ed)
BP2026-06500,Pending Plans Review Assignment,2026-04-22,,,Commercial / Multi Family Project,3703 - Beauty Shop,Alteration,,100000.0,5470 SIGNAL HILL CE SW,SIGNAL HILL,51.02042694165803,-114.16683309911211,Open Calgary — Building Permits (c2es-76ed)
BP2026-06241,Pending Plans Review Assignment,2026-04-17,,,Commercial / Multi Family Project,3608 - Restaurant,Alteration,,500000.0,5505 SIGNAL HILL CE SW,SIGNAL HILL,51.019595421537495,-114.16680896366393,Open Calgary — Building Permits (c2es-76ed)
BP2026-06348,Pending Plans Review Assignment,2026-04-20,,,Commercial / Multi Family Project,5299 - Medical Misc.,Alteration,,150000.0,#444 1919 SIROCCO DR SW,SIGNAL HILL,51.035731454425196,-114.16722848366327,Open Calgary — Building Permits (c2es-76ed)
BP2026-04873,Hold,2026-03-28,,,Residential Improvement Project,1101 - Improvements (Single Family),Alteration,Improvements,4000.0,392 SIENNA PARK DR SW,SIGNAL HILL,51.02409998407975,-114.18143313068835,Open Calgary — Building Permits (c2es-76ed)
BP2026-08254,Hold,2026-05-12,,,Residential Improvement Project,1101 - Improvements (Single Family),Alteration,Improvements,100000.0,186 SIERRA NEVADA CL SW,SIGNAL HILL,51.01526846499245,-114.18271591361034,Open Calgary — Building Permits (c2es-76ed)
BP2026-04490,Hold,2026-03-23,,,Residential Improvement Project,1101 - Improvements (Single Family),Alteration,Improvements,10000.0,166 SIENNA HILLS DR SW,SIGNAL HILL,51.02657791175769,-114.1716834122649,Open Calgary — Building Permits (c2es-76ed)
BP2025-07006,Refused,2025-04-19,,2026-01-07,Residential Improvement Project,1101 - Improvements (Single Family),Alteration,Improvements,9000.0,802 SIERRA MADRE CO SW,SIGNAL HILL,51.012015499087276,-114.18015764544204,Open Calgary — Building Permits (c2es-76ed)
BP2026-08133,Hold,2026-05-11,,,Residential Improvement Project,1101 - Basement Development,Alteration,Basement Dev,24856.0,68 SIMCOE PL SW,SIGNAL HILL,51.0370375563952,-114.18347295092515,Open Calgary — Building Permits (c2es-76ed)
BP2026-07486,New,2026-05-04,,,Residential Improvement Project,1101 - Improvements (Single Family),Alteration,Improvements,115000.0,322 SIGNATURE CO SW,SIGNAL HILL,51.0360882120189,-114.17529618100164,Open Calgary — Building Permits (c2es-76ed)
BP2026-04109,Pending Plans Review Assignment,2026-03-17,,,Commercial / Multi Family Project,5301 - Child Care Facility,Alteration,,300000.0,#100 2115 SIROCCO DR SW,SIGNAL HILL,51.03242661732752,-114.17109464174764,Open Calgary — Building Permits (c2es-76ed)
BP2025-15654,Cancelled,2025-08-12,,2025-09-14,Residential Improvement Project,9999 - Unspecified,Alteration,Secondary Suite,,511 SIERRA MORENA CO SW,SIGNAL HILL,51.02011224484411,-114.18357431549626,Open Calgary — Building Permits (c2es-76ed)
BP2026-03850,Pending Plans Review Assignment,2026-03-12,,,Commercial / Multi Family Project,5299 - Medical Misc.,Alteration,,185000.0,#408 1919 SIROCCO DR SW,SIGNAL HILL,51.035731454425196,-114.16722848366327,Open Calgary — Building Permits (c2es-76ed)
BP2025-03587,Cancelled,2025-03-03,,2025-10-01,Commercial / Multi Family Project,3608 - Restaurant,Alteration,,,#100 1919 SIROCCO DR SW,SIGNAL HILL,51.035731454425196,-114.16722848366327,Open Calgary — Building Permits (c2es-76ed)
